time_sec,x,y,yaw
26.860,0.0000,-0.0000,-0.0000
27.300,0.0526,-0.0027,-0.0852
27.560,0.1042,-0.0088,-0.1514
27.820,0.1553,-0.0186,-0.2279
28.080,0.2054,-0.0323,-0.3043
28.340,0.2543,-0.0500,-0.3934
28.600,0.3013,-0.0722,-0.4889
28.860,0.3459,-0.0988,-0.5897
29.120,0.3876,-0.1299,-0.6949
29.380,0.4256,-0.1654,-0.8075
29.640,0.4592,-0.2050,-0.9297
31.260,0.5096,-0.2189,-0.1291
31.900,0.5610,-0.2252,-0.0949
32.240,0.6114,-0.2330,-0.2139
32.840,0.6621,-0.2451,-0.2150
33.180,0.7112,-0.2589,-0.3340
33.840,0.7612,-0.2732,-0.2859
34.180,0.8121,-0.2912,-0.3436
34.440,0.8623,-0.3042,-0.1512
34.700,0.9142,-0.3059,0.0888
34.960,0.9649,-0.2949,0.3234
35.220,1.0123,-0.2738,0.5121
35.480,1.0554,-0.2447,0.6726
35.820,1.0972,-0.2150,0.5579
36.160,1.1420,-0.1906,0.4389
36.500,1.1893,-0.1718,0.3199
36.840,1.2385,-0.1586,0.2009
37.180,1.2890,-0.1514,0.0819
37.520,1.3400,-0.1503,-0.0371
37.860,1.3907,-0.1552,-0.1561
38.200,1.4405,-0.1661,-0.2751
38.540,1.4901,-0.1834,-0.3839
38.800,1.5379,-0.2039,-0.4252
39.620,1.5883,-0.2156,-0.2079
39.960,1.6375,-0.2291,-0.3269
40.760,1.6882,-0.2392,-0.1656
41.100,1.7379,-0.2505,-0.2846
41.440,1.7859,-0.2677,-0.4036
42.040,1.8347,-0.2862,-0.4047
42.380,1.8803,-0.3090,-0.5237
43.000,1.9263,-0.3329,-0.5053
43.280,1.9709,-0.3567,-0.4151
43.540,2.0205,-0.3721,-0.1836
43.800,2.0723,-0.3750,0.0741
44.060,2.1233,-0.3654,0.2860
44.320,2.1715,-0.3461,0.4671
44.580,2.2160,-0.3197,0.5433
44.840,2.2635,-0.2989,0.2833
45.100,2.3147,-0.2909,0.0233
45.360,2.3665,-0.2961,-0.1689
45.620,2.4180,-0.3032,-0.1067
45.880,2.4691,-0.3114,-0.2761
46.140,2.5170,-0.3316,-0.4697
46.400,2.5638,-0.3544,-0.4398
46.660,2.6100,-0.3779,-0.5690
48.080,2.6621,-0.3798,0.0517
48.420,2.7131,-0.3802,-0.0673
49.040,2.7638,-0.3847,-0.0420
49.380,2.8145,-0.3899,-0.1610
50.000,2.8663,-0.3957,-0.1449
50.340,2.9162,-0.4061,-0.2639
50.680,2.9645,-0.4223,-0.3829
51.180,3.0146,-0.4313,-0.0603
51.440,3.0663,-0.4282,0.1877
51.700,3.1156,-0.4120,0.4390
51.960,3.1602,-0.3854,0.6353
52.220,3.1991,-0.3510,0.7986
52.540,3.2349,-0.3151,0.7330
52.880,3.2748,-0.2833,0.6140
53.220,3.3181,-0.2565,0.4950
53.560,3.3643,-0.2349,0.3760
53.900,3.4128,-0.2191,0.2570
54.240,3.4627,-0.2091,0.1380
54.580,3.5136,-0.2051,0.0190
54.920,3.5645,-0.2071,-0.1000
55.260,3.6148,-0.2152,-0.2190
55.580,3.6640,-0.2292,-0.3191
55.840,3.7129,-0.2468,-0.3718
56.100,3.7608,-0.2671,-0.4333
56.360,3.8069,-0.2909,-0.5193
56.620,3.8510,-0.3186,-0.6002
56.880,3.8927,-0.3496,-0.6827
57.140,3.9315,-0.3842,-0.7700
57.400,3.9672,-0.4220,-0.8621
59.860,4.0156,-0.4041,0.7756
60.120,4.0518,-0.3668,0.8289
60.380,4.0857,-0.3274,0.8915
60.640,4.1170,-0.2859,0.9560
60.900,4.1455,-0.2424,1.0279
62.000,4.1632,-0.1949,1.7141
62.260,4.1543,-0.1443,1.7736
62.520,4.1423,-0.0938,1.8383
62.780,4.1267,-0.0442,1.9115
63.040,4.1074,0.0041,1.9915
63.300,4.0843,0.0507,2.0747
63.560,4.0571,0.0950,2.1633
63.820,4.0263,0.1368,2.2482
64.080,3.9921,0.1760,2.3316
64.340,3.9548,0.2122,2.3983
64.600,3.9159,0.2468,2.4214
64.860,3.8773,0.2816,2.3832
65.120,3.8411,0.3189,2.2970
65.380,3.8083,0.3592,2.2126
65.640,3.7789,0.4021,2.1302
65.900,3.7532,0.4473,2.0445
66.160,3.7315,0.4945,1.9590
66.420,3.7141,0.5435,1.8657
66.680,3.7013,0.5939,1.7704
66.940,3.6936,0.6453,1.6696
67.200,3.6911,0.6972,1.5663
67.460,3.6942,0.7491,1.4544
67.720,3.7031,0.8003,1.3422
67.980,3.7180,0.8501,1.2190
68.240,3.7390,0.8976,1.0882
68.500,3.7661,0.9419,0.9541
68.760,3.7990,0.9821,0.8157
69.020,3.8371,1.0174,0.6796
69.280,3.8797,1.0472,0.5409
69.540,3.9259,1.0710,0.4107
69.800,3.9748,1.0887,0.2803
70.060,4.0256,1.0997,0.1483
